,h,test,loss
0,2,0,0.19468387961387634
1,2,1,0.06040991097688675
2,2,2,0.0835169106721878
3,2,3,0.08376494795084
4,2,4,0.09706645458936691
5,2,5,0.08334933966398239
6,2,6,0.06163372844457626
7,2,7,0.09721366316080093
8,2,8,0.08728976547718048
9,2,9,0.06214138865470886
10,2,10,0.09813618659973145
11,2,11,0.06077533960342407
12,2,12,0.09761561453342438
13,2,13,0.09801319241523743
14,2,14,0.0977172777056694
15,2,15,0.0619676373898983
16,2,16,0.09671690315008163
17,2,17,0.06121983751654625
18,2,18,0.09747997671365738
19,2,19,0.06150667369365692
20,2,20,0.06179363280534744
21,2,21,0.0971917062997818
22,2,22,0.06139056757092476
23,2,23,0.09790171682834625
24,2,24,0.19658946990966797
25,2,25,0.08302364498376846
26,2,26,0.097658172249794
27,2,27,0.09762343764305115
28,2,28,0.06771445274353027
29,2,29,0.08424396812915802
30,2,30,0.06175136938691139
31,2,31,0.09762314707040787
32,2,32,0.09727101027965546
33,2,33,0.0978696271777153
34,2,34,0.0964517742395401
35,2,35,0.0978718027472496
36,2,36,0.09692007303237915
37,2,37,0.0974307507276535
38,2,38,0.06651861220598221
39,2,39,0.09699546545743942
40,2,40,0.19326689839363098
41,2,41,0.09706157445907593
42,2,42,0.19541433453559875
43,2,43,0.09719353169202805
44,2,44,0.09738361090421677
45,2,45,0.19485726952552795
46,2,46,0.08390478044748306
47,2,47,0.09752236306667328
48,2,48,0.09875736385583878
49,2,49,0.09776706993579865
50,2,50,0.08307725936174393
51,2,51,0.08309832215309143
52,2,52,0.09678220748901367
53,2,53,0.09734755754470825
54,2,54,0.0973021388053894
55,2,55,0.09719858318567276
56,2,56,0.09705245494842529
57,2,57,0.09732110053300858
58,2,58,0.062218211591243744
59,2,59,0.09811301529407501
60,3,0,0.08391048014163971
61,3,1,0.0008462016703560948
62,3,2,0.06131311506032944
63,3,3,0.09780170023441315
64,3,4,0.09646330773830414
65,3,5,0.061016157269477844
66,3,6,0.0016763556050136685
67,3,7,0.08455955982208252
68,3,8,0.0015612239949405193
69,3,9,0.09744657576084137
