,h,test,loss
0,2,0,0.09721528738737106
1,2,1,0.06053120642900467
2,2,2,0.09740491956472397
3,2,3,0.06226173788309097
4,2,4,0.09679574519395828
5,2,5,0.0834900438785553
6,2,6,0.19488351047039032
7,2,7,0.19483782351016998
8,2,8,0.08341258764266968
9,2,9,0.09782640635967255
10,2,10,0.09778749942779541
11,2,11,0.09791244566440582
12,2,12,0.09713046252727509
13,2,13,0.09703132510185242
14,2,14,0.09789292514324188
15,2,15,0.1935487687587738
16,2,16,0.061031777411699295
17,2,17,0.06182626634836197
18,2,18,0.19534355401992798
19,2,19,0.08351483941078186
20,2,20,0.09750623255968094
21,2,21,0.09749359637498856
22,2,22,0.0984308123588562
23,2,23,0.0970725566148758
24,2,24,0.060947809368371964
25,2,25,0.09800973534584045
26,2,26,0.09632256627082825
27,2,27,0.09748348593711853
28,2,28,0.09755753725767136
29,2,29,0.09763012826442719
30,2,30,0.09719783812761307
31,2,31,0.09865206480026245
32,2,32,0.09755337983369827
33,2,33,0.09808004647493362
34,2,34,0.0979839414358139
35,2,35,0.09757508337497711
36,2,36,0.0967659130692482
37,2,37,0.09684844315052032
38,2,38,0.09803879261016846
39,2,39,0.19641228020191193
40,3,0,0.09725463390350342
41,3,1,0.09684905409812927
42,3,2,0.09804007411003113
43,3,3,0.09811007231473923
44,3,4,0.09657081961631775
45,3,5,0.0009454184328205884
46,3,6,0.09806033968925476
47,3,7,0.0978955626487732
48,3,8,0.08292648196220398
49,3,9,0.08452777564525604
50,3,10,0.0008343591471202672
51,3,11,0.09695996344089508
52,3,12,0.08337438851594925
53,3,13,0.09821857511997223
54,3,14,0.0977996215224266
55,3,15,0.0007774765836074948
56,3,16,0.09798651188611984
57,3,17,0.08355522155761719
58,3,18,0.19563370943069458
59,3,19,0.09856361150741577
60,3,20,0.09808650612831116
61,3,21,0.08688638359308243
62,3,22,0.09674219787120819
63,3,23,0.0005908349994570017
64,3,24,0.08430056273937225
65,3,25,0.1941007375717163
66,3,26,0.08410708606243134
67,3,27,0.09853824973106384
68,3,28,0.09803058952093124
69,3,29,0.09758986532688141
70,3,30,0.09722372144460678
71,3,31,0.09697955846786499
72,3,32,0.09806369245052338
73,3,33,0.09650523960590363
74,3,34,0.05161367356777191
75,3,35,0.08371151238679886
76,3,36,0.09729233384132385
77,3,37,0.08270634710788727
78,3,38,0.0007381761679425836
79,3,39,0.09785550832748413
80,4,0,0.002545974450185895
81,4,1,0.09803842008113861
82,4,2,0.09753140062093735
83,4,3,0.09793800115585327
84,4,4,0.08343225717544556
85,4,5,0.08310851454734802
86,4,6,0.09867234528064728
87,4,7,0.09772004932165146
88,4,8,0.09769926220178604
89,4,9,0.08358003199100494
90,4,10,0.09726373851299286
91,4,11,0.066648468375206
92,4,12,0.00029253322281874716
93,4,13,0.19496586918830872
94,4,14,0.09734146296977997
95,4,15,0.09809471666812897
96,4,16,0.061001673340797424
97,4,17,0.08362270891666412
98,4,18,0.09675781428813934
99,4,19,0.08333411812782288
100,4,20,0.09707510471343994
101,4,21,0.0009860927239060402
102,4,22,0.0006403467850759625
103,4,23,0.09698741137981415
104,4,24,0.06289444118738174
105,4,25,0.08734419196844101
106,4,26,0.08399221301078796
107,4,27,0.0005720212357118726
108,4,28,0.0975460484623909
109,4,29,0.001308848150074482
110,4,30,0.0005827228305861354
111,4,31,0.0011546746827661991
112,4,32,0.0971260815858841
113,4,33,0.09383778274059296
114,4,34,0.08359771966934204
115,4,35,0.09668631851673126
116,4,36,0.0981140062212944
117,4,37,0.09807631373405457
118,4,38,0.09822806715965271
119,4,39,0.0005496176891028881
120,5,0,0.09787311404943466
121,5,1,0.08334766328334808
122,5,2,0.09775014221668243
123,5,3,0.0843290314078331
124,5,4,0.0007817171863280237
125,5,5,0.09783076494932175
126,5,6,0.0004831220139749348
127,5,7,0.08322963118553162
128,5,8,0.09764574468135834
129,5,9,0.08370830118656158
130,5,10,0.0840103030204773
131,5,11,0.08330051600933075
132,5,12,0.001336594927124679
133,5,13,0.09713120013475418
134,5,14,0.08279919624328613
135,5,15,0.08346253633499146
136,5,16,0.0003921312454622239
137,5,17,0.08337177336215973
138,5,18,0.00039195804856717587
139,5,19,0.00037875567795708776
140,5,20,0.09804116934537888
141,5,21,0.09860799461603165
142,5,22,0.08509670943021774
143,5,23,0.08284152299165726
144,5,24,0.09673546999692917
145,5,25,0.08297713100910187
146,5,26,0.08384869992733002
147,5,27,0.0011748936958611012
148,5,28,0.09871897101402283
149,5,29,0.08282923698425293
150,5,30,0.0006712842150591314
151,5,31,0.09433014690876007
152,5,32,0.08328242599964142
153,5,33,0.0004876617167610675
154,5,34,0.0008858932997100055
155,5,35,0.08661328256130219
156,5,36,0.09851623326539993
157,5,37,0.08283782005310059
158,5,38,0.00048472773050889373
159,5,39,0.09781388938426971
160,6,0,0.09698796272277832
161,6,1,0.08388035744428635
162,6,2,0.0006530312821269035
163,6,3,0.08310562372207642
164,6,4,0.08353693783283234
165,6,5,0.0007630165782757103
166,6,6,0.0003574558941181749
167,6,7,0.08320885896682739
168,6,8,0.08300982415676117
169,6,9,0.002014108933508396
170,6,10,0.0979028046131134
171,6,11,0.0009503911715000868
172,6,12,0.09753258526325226
173,6,13,0.0004939151112921536
174,6,14,0.0008246421348303556
175,6,15,0.0007024910300970078
176,6,16,0.0008311287965625525
177,6,17,0.001204179716296494
178,6,18,0.00046304144780151546
179,6,19,0.0009573829593136907
180,6,20,0.0009102607727982104
181,6,21,0.00046507149818353355
182,6,22,0.09864941239356995
183,6,23,0.000622415158431977
184,6,24,0.0004998323856852949
185,6,25,0.0005443136906251311
186,6,26,0.08403640240430832
187,6,27,0.08338406682014465
188,6,28,0.09946165978908539
189,6,29,0.0008168320055119693
190,6,30,0.0006059415172785521
191,6,31,0.000690540240611881
192,6,32,0.09752616286277771
193,6,33,0.08460453152656555
194,6,34,0.0989224910736084
195,6,35,0.0005571954534389079
196,6,36,0.0012471240479499102
197,6,37,0.000718437135219574
198,6,38,0.09757138043642044
199,6,39,0.08319145441055298
200,7,0,0.0008387666894122958
201,7,1,0.08319109678268433
202,7,2,0.0006955601274967194
203,7,3,0.0006024201866239309
204,7,4,0.00021472851221915334
205,7,5,0.0007626119186170399
206,7,6,0.00040216592606157064
207,7,7,0.0005550089990720153
208,7,8,0.0006944516208022833
209,7,9,0.00039072090294212103
210,7,10,0.0842437744140625
211,7,11,0.09754999727010727
212,7,12,0.0010325730545446277
213,7,13,0.0006097214645706117
214,7,14,0.08335171639919281
215,7,15,0.0006534756394103169
216,7,16,0.09747257828712463
217,7,17,0.09742650389671326
218,7,18,0.00098411925137043
219,7,19,0.0005777337937615812
220,7,20,0.08360853791236877
221,7,21,0.0008222530595958233
222,7,22,0.08335499465465546
223,7,23,0.0011247399961575866
224,7,24,0.0011513566132634878
225,7,25,0.0004932954907417297
226,7,26,0.0007861953345127404
227,7,27,0.09702114760875702
228,7,28,0.000737643102183938
229,7,29,0.08326701819896698
230,7,30,0.00044188136234879494
231,7,31,0.000857494946103543
232,7,32,0.00031796711846254766
233,7,33,0.0006552257691510022
234,7,34,0.08279839903116226
235,7,35,0.0004031131393276155
236,7,36,0.0970638170838356
237,7,37,0.0005603598547168076
238,7,38,0.0013999911025166512
239,7,39,0.0008902372210286558
240,8,0,0.0008707794477231801
241,8,1,0.0010718522826209664
242,8,2,0.0009690698934718966
243,8,3,0.08299710601568222
244,8,4,0.0007154232589527965
245,8,5,0.0834302306175232
246,8,6,0.0004203347198199481
247,8,7,0.0008615959668532014
248,8,8,0.0007802454638294876
249,8,9,0.0006864810129627585
250,8,10,0.0006648184498772025
251,8,11,0.09735548496246338
252,8,12,0.00046225287951529026
253,8,13,0.000599623890593648
254,8,14,0.0006346204318106174
255,8,15,0.00033714011078700423
256,8,16,0.0009899394353851676
257,8,17,0.0006732562324032187
258,8,18,0.09676139801740646
259,8,19,0.0007880744524300098
260,8,20,0.0008318758918903768
261,8,21,0.0007130770245566964
262,8,22,0.0005158120766282082
263,8,23,0.0009607713436707854
264,8,24,0.09711585938930511
265,8,25,0.0005690109683200717
266,8,26,0.0007074265158735216
267,8,27,0.0838274359703064
268,8,28,0.09811553359031677
269,8,29,0.0006524857017211616
270,8,30,0.0007435306324623525
271,8,31,0.0006346404552459717
272,8,32,0.08375594019889832
273,8,33,0.0974108874797821
274,8,34,0.00046771211782470345
275,8,35,0.0005179863655939698
276,8,36,0.0013198035303503275
277,8,37,0.0004294173268135637
278,8,38,0.0004388798261061311
279,8,39,0.08561794459819794
280,9,0,0.0005985613679513335
281,9,1,0.00033766115666367114
282,9,2,0.0012420052662491798
283,9,3,0.08313290774822235
284,9,4,0.08339504897594452
285,9,5,0.08293797075748444
286,9,6,0.00118330679833889
287,9,7,0.08335132151842117
288,9,8,0.0003740140818990767
289,9,9,0.08328012377023697
290,9,10,0.0012132927076891065
291,9,11,0.0004594165657181293
292,9,12,0.0007333569228649139
293,9,13,0.0008560516289435327
294,9,14,0.0007943126256577671
295,9,15,0.0010146383428946137
296,9,16,0.0005501079722307622
297,9,17,0.0004318508435972035
298,9,18,0.000594346784055233
299,9,19,0.0006336935330182314
300,9,20,0.0011491944314911962
301,9,21,0.0006434399983845651
302,9,22,0.09723682701587677
303,9,23,0.001025651814416051
304,9,24,0.0007527371635660529
305,9,25,0.0007486261893063784
306,9,26,0.0005229479866102338
307,9,27,0.0011958717368543148
308,9,28,0.08323954045772552
309,9,29,0.0007600103272125125
310,9,30,0.0008241161704063416
311,9,31,0.08313111215829849
312,9,32,0.08388929814100266
313,9,33,0.0007397407316602767
314,9,34,0.0005581791629083455
315,9,35,0.09754188358783722
316,9,36,0.02027309499680996
317,9,37,0.0827127993106842
318,9,38,0.0002040545514319092
319,9,39,0.0008968060137704015
320,10,0,0.00062414666172117
321,10,1,0.08339375257492065
322,10,2,0.08285693824291229
323,10,3,0.000703187775798142
324,10,4,0.08383631706237793
325,10,5,0.0975070521235466
326,10,6,0.08353807777166367
327,10,7,0.09660860151052475
328,10,8,0.0006266567506827414
329,10,9,0.0004230216145515442
330,10,10,0.0009928977815434337
331,10,11,0.001185850938782096
332,10,12,0.00018017514958046377
333,10,13,0.0006687348941341043
334,10,14,0.0009236129699274898
335,10,15,0.0003865230246447027
336,10,16,0.0011920147808268666
337,10,17,0.0005086258752271533
338,10,18,0.09702149033546448
339,10,19,0.08298254758119583
340,10,20,0.0013051517307758331
341,10,21,0.004371092654764652
342,10,22,0.0005825237603858113
343,10,23,0.08313624560832977
344,10,24,0.0006782820564694703
345,10,25,0.08371466398239136
346,10,26,0.0007446217350661755
347,10,27,0.0009117912268266082
348,10,28,0.00024206590023823082
349,10,29,0.0004766682395711541
350,10,30,0.00040286380681209266
351,10,31,0.0010013302089646459
352,10,32,0.0006128204404376447
353,10,33,0.0014534489018842578
354,10,34,0.0007590101449750364
355,10,35,0.0007933886954560876
356,10,36,0.0007598368101753294
357,10,37,0.0004781093157362193
358,10,38,0.0007209990289993584
359,10,39,0.00046248247963376343
